Start Date,End Date,Duration,Magnitude
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days],[mm]
1991-07-15 00:00:00,1991-07-15 00:00:00,1,0.000894575
1991-07-22 00:00:00,1991-07-23 00:00:00,2,3.624250454
1991-09-10 00:00:00,1991-09-11 00:00:00,2,0.017986096
1991-09-17 00:00:00,1991-09-18 00:00:00,2,0.47673415
1991-09-25 00:00:00,1991-09-28 00:00:00,4,6.4060664759999995
1991-10-08 00:00:00,1991-10-11 00:00:00,4,5.430200419999999
1991-10-17 00:00:00,1991-10-19 00:00:00,3,27.17413361
1991-10-23 00:00:00,1991-10-28 00:00:00,6,32.127017296000005
1991-11-01 00:00:00,1991-11-03 00:00:00,3,0.219467134
1991-11-05 00:00:00,1991-11-06 00:00:00,2,0.06431493299999999
1991-11-09 00:00:00,1991-11-09 00:00:00,1,0.000247243
1991-11-12 00:00:00,1991-11-13 00:00:00,2,5.892917198
1991-11-15 00:00:00,1991-11-18 00:00:00,4,13.432855362
1991-11-20 00:00:00,1991-11-22 00:00:00,3,5.728263507
1991-11-24 00:00:00,1991-11-24 00:00:00,1,0.034857363
1991-11-28 00:00:00,1991-12-14 00:00:00,17,198.56142593100003
1991-12-16 00:00:00,1991-12-23 00:00:00,8,38.144975066
1991-12-28 00:00:00,1992-01-05 00:00:00,9,49.24038177
1992-01-07 00:00:00,1992-01-11 00:00:00,5,23.427574796000002
1992-01-18 00:00:00,1992-01-19 00:00:00,2,0.11443703899999999
1992-01-24 00:00:00,1992-01-24 00:00:00,1,0.003062855
1992-01-26 00:00:00,1992-02-04 00:00:00,10,36.58713668299999
1992-02-06 00:00:00,1992-02-06 00:00:00,1,0.032903861
1992-02-08 00:00:00,1992-03-05 00:00:00,27,180.85702380499998
1992-03-07 00:00:00,1992-03-11 00:00:00,5,2.609195196
1992-03-13 00:00:00,1992-03-20 00:00:00,8,128.90321164300002
1992-03-23 00:00:00,1992-03-26 00:00:00,4,15.792991213999999
1992-03-28 00:00:00,1992-04-16 00:00:00,20,36.49575775499999
1992-04-18 00:00:00,1992-04-30 00:00:00,13,28.70912378
1992-05-04 00:00:00,1992-05-15 00:00:00,12,21.425249255
1992-05-17 00:00:00,1992-05-22 00:00:00,6,48.621943895
1992-05-30 00:00:00,1992-06-04 00:00:00,6,2.2592891030000004
1992-06-07 00:00:00,1992-06-07 00:00:00,1,0.013160434
1992-06-09 00:00:00,1992-06-10 00:00:00,2,0.046299680999999995
1992-06-15 00:00:00,1992-06-17 00:00:00,3,3.1861365409999998
1992-06-22 00:00:00,1992-06-25 00:00:00,4,0.6556772340000001
1992-06-30 00:00:00,1992-07-07 00:00:00,8,11.983345856
1992-07-09 00:00:00,1992-07-09 00:00:00,1,0.012038563
1992-07-14 00:00:00,1992-07-14 00:00:00,1,0.012410338
1992-07-16 00:00:00,1992-07-21 00:00:00,6,21.692960305999996
1992-07-23 00:00:00,1992-07-24 00:00:00,2,0.032622988
1992-07-26 00:00:00,1992-08-04 00:00:00,10,15.515226782000003
1992-08-06 00:00:00,1992-08-11 00:00:00,6,4.569996729
1992-08-17 00:00:00,1992-08-17 00:00:00,1,0.000411246
1992-08-23 00:00:00,1992-08-24 00:00:00,2,6.10739059
1992-08-27 00:00:00,1992-08-27 00:00:00,1,0.005621698
1992-08-30 00:00:00,1992-09-04 00:00:00,6,42.424276526999996
1992-09-07 00:00:00,1992-09-11 00:00:00,5,15.422151823999998
1992-09-15 00:00:00,1992-09-16 00:00:00,2,11.021532953
1992-09-18 00:00:00,1992-09-18 00:00:00,1,0.005598949
1992-09-22 00:00:00,1992-09-22 00:00:00,1,9.49e-06
1992-09-25 00:00:00,1992-09-26 00:00:00,2,1.048594417
1992-09-29 00:00:00,1992-09-30 00:00:00,2,2.514088719
1992-10-04 00:00:00,1992-10-05 00:00:00,2,1.717650777
1992-10-10 00:00:00,1992-10-10 00:00:00,1,1.956256726
1992-10-19 00:00:00,1992-10-21 00:00:00,3,1.2345613789999998
1992-10-23 00:00:00,1992-10-23 00:00:00,1,0.003622406
1992-10-25 00:00:00,1992-10-25 00:00:00,1,0.006491957
1992-10-27 00:00:00,1992-11-02 00:00:00,7,21.928434222
1992-11-04 00:00:00,1992-11-07 00:00:00,4,16.308492575
1992-11-10 00:00:00,1992-11-10 00:00:00,1,2.822024712
1992-11-15 00:00:00,1992-11-22 00:00:00,8,42.28653159
1992-11-24 00:00:00,1992-11-26 00:00:00,3,17.448917971
1992-11-29 00:00:00,1992-12-01 00:00:00,3,0.43251871500000005
1992-12-03 00:00:00,1992-12-11 00:00:00,9,23.863921603
1992-12-15 00:00:00,1992-12-22 00:00:00,8,10.112700553
1992-12-24 00:00:00,1992-12-28 00:00:00,5,14.226630149
1992-12-31 00:00:00,1992-12-31 00:00:00,1,0.001735468
1993-01-04 00:00:00,1993-01-14 00:00:00,11,82.44120977600001
1993-01-17 00:00:00,1993-01-19 00:00:00,3,0.032933960000000005
1993-01-25 00:00:00,1993-01-27 00:00:00,3,0.157278277
1993-01-30 00:00:00,1993-02-02 00:00:00,4,7.663534171
1993-02-05 00:00:00,1993-02-11 00:00:00,7,24.026019001
1993-02-13 00:00:00,1993-03-02 00:00:00,18,34.869644775
1993-03-04 00:00:00,1993-03-21 00:00:00,18,22.402683238000005
1993-03-23 00:00:00,1993-03-25 00:00:00,3,0.058436657999999995
1993-03-27 00:00:00,1993-03-30 00:00:00,4,3.470170527
1993-04-09 00:00:00,1993-04-13 00:00:00,5,0.888252555
1993-04-15 00:00:00,1993-04-18 00:00:00,4,2.36326163
1993-04-20 00:00:00,1993-04-20 00:00:00,1,0.094259752
1993-04-23 00:00:00,1993-04-23 00:00:00,1,0.104105552
1993-04-27 00:00:00,1993-04-27 00:00:00,1,0.100681644
1993-04-29 00:00:00,1993-05-01 00:00:00,3,0.48913449200000003
1993-05-03 00:00:00,1993-05-03 00:00:00,1,0.010850512
1993-05-09 00:00:00,1993-05-11 00:00:00,3,0.052408377
1993-05-13 00:00:00,1993-05-15 00:00:00,3,20.263473107
1993-05-17 00:00:00,1993-05-18 00:00:00,2,0.006874164
1993-05-20 00:00:00,1993-05-25 00:00:00,6,2.1892917350000007
1993-05-27 00:00:00,1993-06-04 00:00:00,9,28.541736110000006
1993-06-06 00:00:00,1993-06-08 00:00:00,3,1.63721835
1993-06-10 00:00:00,1993-06-13 00:00:00,4,0.221313853
1993-06-16 00:00:00,1993-06-16 00:00:00,1,0.102777701
1993-06-18 00:00:00,1993-06-18 00:00:00,1,0.00677981
1993-06-29 00:00:00,1993-07-03 00:00:00,5,0.738453032
1993-07-05 00:00:00,1993-07-15 00:00:00,11,34.727927081
1993-07-18 00:00:00,1993-07-30 00:00:00,13,12.566857154
1993-08-02 00:00:00,1993-08-02 00:00:00,1,0.011367288
1993-08-25 00:00:00,1993-09-04 00:00:00,11,25.427592021000002
1993-09-07 00:00:00,1993-09-10 00:00:00,4,2.9479697629999997
1993-09-13 00:00:00,1993-09-15 00:00:00,3,24.317855485
1993-09-17 00:00:00,1993-09-17 00:00:00,1,0.576071723
1993-09-23 00:00:00,1993-09-25 00:00:00,3,13.896161721
1993-09-27 00:00:00,1993-09-27 00:00:00,1,0.04300039
1993-10-01 00:00:00,1993-10-01 00:00:00,1,0.028585758
1993-10-05 00:00:00,1993-10-06 00:00:00,2,4.6013573899999995
1993-10-12 00:00:00,1993-10-21 00:00:00,10,17.909619120000002
1993-10-23 00:00:00,1993-10-26 00:00:00,4,2.693904908
1993-10-28 00:00:00,1993-11-03 00:00:00,7,26.400947141
1993-11-07 00:00:00,1993-11-16 00:00:00,10,6.605273835
1993-11-21 00:00:00,1993-11-27 00:00:00,7,20.304775092
1993-12-03 00:00:00,1993-12-03 00:00:00,1,0.053385237
1993-12-05 00:00:00,1993-12-14 00:00:00,10,65.345691364
1993-12-16 00:00:00,1993-12-18 00:00:00,3,2.540366899
1993-12-22 00:00:00,1993-12-27 00:00:00,6,25.785090641999997
1993-12-30 00:00:00,1993-12-30 00:00:00,1,0.014179024
1994-01-08 00:00:00,1994-01-23 00:00:00,16,26.765873003
1994-01-25 00:00:00,1994-02-16 00:00:00,23,91.812933927
1994-02-18 00:00:00,1994-02-22 00:00:00,5,40.704558204
1994-02-25 00:00:00,1994-02-25 00:00:00,1,0.0003994
1994-02-27 00:00:00,1994-03-11 00:00:00,13,133.611755252
1994-03-13 00:00:00,1994-03-13 00:00:00,1,0.000293874
1994-03-16 00:00:00,1994-03-16 00:00:00,1,0.005587074
1994-03-21 00:00:00,1994-04-02 00:00:00,13,18.017305207
1994-04-04 00:00:00,1994-04-08 00:00:00,5,11.268054625000001
1994-04-10 00:00:00,1994-04-12 00:00:00,3,1.07981306
1994-04-16 00:00:00,1994-05-07 00:00:00,22,25.802548064
1994-05-09 00:00:00,1994-05-09 00:00:00,1,0.127465117
1994-05-11 00:00:00,1994-05-12 00:00:00,2,0.202451715
1994-05-22 00:00:00,1994-05-22 00:00:00,1,0.002611442
1994-05-30 00:00:00,1994-06-10 00:00:00,12,36.967951060000004
1994-06-15 00:00:00,1994-06-15 00:00:00,1,0.24915637
1994-06-24 00:00:00,1994-06-24 00:00:00,1,0.43484982
1994-06-29 00:00:00,1994-07-05 00:00:00,7,0.5782728939999999
1994-07-07 00:00:00,1994-07-13 00:00:00,7,18.593042678
1994-07-18 00:00:00,1994-07-18 00:00:00,1,0.07325407
1994-07-28 00:00:00,1994-07-28 00:00:00,1,0.010752041
1994-07-30 00:00:00,1994-08-01 00:00:00,3,1.8165416640000003
1994-08-19 00:00:00,1994-08-19 00:00:00,1,0.043671733
