Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1995-08-05 00:00:00,1995-08-12 00:00:00,8
1995-08-21 00:00:00,1995-08-21 00:00:00,1
1995-08-23 00:00:00,1995-08-24 00:00:00,2
1995-08-31 00:00:00,1995-09-01 00:00:00,2
1995-09-07 00:00:00,1995-09-09 00:00:00,3
1995-09-12 00:00:00,1995-09-13 00:00:00,2
1995-09-27 00:00:00,1995-09-29 00:00:00,3
1995-10-01 00:00:00,1995-10-01 00:00:00,1
1995-10-06 00:00:00,1995-10-07 00:00:00,2
1995-10-11 00:00:00,1995-10-11 00:00:00,1
1995-10-14 00:00:00,1995-10-14 00:00:00,1
1995-10-21 00:00:00,1995-10-21 00:00:00,1
1995-10-30 00:00:00,1995-10-31 00:00:00,2
1995-11-25 00:00:00,1995-11-29 00:00:00,5
1995-12-05 00:00:00,1995-12-05 00:00:00,1
1995-12-08 00:00:00,1995-12-08 00:00:00,1
1995-12-10 00:00:00,1995-12-10 00:00:00,1
1995-12-15 00:00:00,1995-12-15 00:00:00,1
1995-12-20 00:00:00,1995-12-21 00:00:00,2
1996-01-14 00:00:00,1996-01-17 00:00:00,4
1996-02-11 00:00:00,1996-02-11 00:00:00,1
1996-03-16 00:00:00,1996-03-17 00:00:00,2
1996-03-19 00:00:00,1996-03-19 00:00:00,1
1996-04-02 00:00:00,1996-04-04 00:00:00,3
1996-04-07 00:00:00,1996-04-07 00:00:00,1
1996-04-12 00:00:00,1996-04-19 00:00:00,8
1996-04-21 00:00:00,1996-04-21 00:00:00,1
1996-05-12 00:00:00,1996-05-12 00:00:00,1
1996-05-25 00:00:00,1996-05-25 00:00:00,1
1996-05-30 00:00:00,1996-05-30 00:00:00,1
1996-06-19 00:00:00,1996-06-19 00:00:00,1
1996-06-21 00:00:00,1996-06-21 00:00:00,1
1996-06-25 00:00:00,1996-06-25 00:00:00,1
1996-06-28 00:00:00,1996-07-01 00:00:00,4
1996-07-03 00:00:00,1996-07-03 00:00:00,1
1996-07-09 00:00:00,1996-07-09 00:00:00,1
1996-07-16 00:00:00,1996-07-17 00:00:00,2
1996-07-19 00:00:00,1996-07-26 00:00:00,8
1996-08-02 00:00:00,1996-08-03 00:00:00,2
1996-08-10 00:00:00,1996-08-11 00:00:00,2
1996-08-15 00:00:00,1996-08-15 00:00:00,1
1996-08-21 00:00:00,1996-08-24 00:00:00,4
1996-08-26 00:00:00,1996-08-29 00:00:00,4
