Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1991-04-17 00:00:00,1991-04-29 00:00:00,13
1991-05-01 00:00:00,1991-05-01 00:00:00,1
1991-05-04 00:00:00,1991-05-07 00:00:00,4
1991-05-12 00:00:00,1991-05-12 00:00:00,1
1991-05-27 00:00:00,1991-05-27 00:00:00,1
1991-06-02 00:00:00,1991-06-02 00:00:00,1
1991-06-14 00:00:00,1991-06-20 00:00:00,7
1991-06-23 00:00:00,1991-06-25 00:00:00,3
1991-06-27 00:00:00,1991-07-02 00:00:00,6
1991-07-06 00:00:00,1991-07-06 00:00:00,1
1991-07-08 00:00:00,1991-07-08 00:00:00,1
1991-07-11 00:00:00,1991-07-12 00:00:00,2
1991-07-14 00:00:00,1991-07-14 00:00:00,1
1991-07-16 00:00:00,1991-07-21 00:00:00,6
1991-07-24 00:00:00,1991-09-09 00:00:00,48
1991-09-12 00:00:00,1991-09-16 00:00:00,5
1991-09-19 00:00:00,1991-09-24 00:00:00,6
1991-09-29 00:00:00,1991-10-07 00:00:00,9
1991-10-12 00:00:00,1991-10-16 00:00:00,5
1991-10-20 00:00:00,1991-10-22 00:00:00,3
1991-10-29 00:00:00,1991-10-31 00:00:00,3
1991-11-04 00:00:00,1991-11-04 00:00:00,1
1991-11-07 00:00:00,1991-11-08 00:00:00,2
1991-11-10 00:00:00,1991-11-11 00:00:00,2
1991-11-14 00:00:00,1991-11-14 00:00:00,1
1991-11-19 00:00:00,1991-11-19 00:00:00,1
1991-11-23 00:00:00,1991-11-23 00:00:00,1
1991-11-25 00:00:00,1991-11-27 00:00:00,3
1991-12-15 00:00:00,1991-12-15 00:00:00,1
1991-12-24 00:00:00,1991-12-27 00:00:00,4
1992-01-06 00:00:00,1992-01-06 00:00:00,1
1992-01-12 00:00:00,1992-01-17 00:00:00,6
1992-01-20 00:00:00,1992-01-23 00:00:00,4
1992-01-25 00:00:00,1992-01-25 00:00:00,1
1992-02-05 00:00:00,1992-02-05 00:00:00,1
1992-02-07 00:00:00,1992-02-07 00:00:00,1
1992-03-06 00:00:00,1992-03-06 00:00:00,1
1992-03-12 00:00:00,1992-03-12 00:00:00,1
1992-03-21 00:00:00,1992-03-22 00:00:00,2
1992-03-27 00:00:00,1992-03-27 00:00:00,1
1992-04-17 00:00:00,1992-04-17 00:00:00,1
1992-05-01 00:00:00,1992-05-03 00:00:00,3
